2022-05-31 15:42:12 startup archives install
2022-05-31 15:42:12 install base-passwd:amd64 <none> 3.5.52build1
2022-05-31 15:42:12 status half-installed base-passwd:amd64 3.5.52build1
2022-05-31 15:42:12 status unpacked base-passwd:amd64 3.5.52build1
2022-05-31 15:42:12 configure base-passwd:amd64 3.5.52build1 3.5.52build1
2022-05-31 15:42:12 status half-configured base-passwd:amd64 3.5.52build1
2022-05-31 15:42:12 status installed base-passwd:amd64 3.5.52build1
2022-05-31 15:42:12 startup archives install
2022-05-31 15:42:12 install base-files:amd64 <none> 12ubuntu4
2022-05-31 15:42:12 status half-installed base-files:amd64 12ubuntu4
2022-05-31 15:42:12 status unpacked base-files:amd64 12ubuntu4
2022-05-31 15:42:12 configure base-files:amd64 12ubuntu4 12ubuntu4
2022-05-31 15:42:12 status half-configured base-files:amd64 12ubuntu4
2022-05-31 15:42:12 status installed base-files:amd64 12ubuntu4
2022-05-31 15:42:12 startup archives install
2022-05-31 15:42:12 upgrade dpkg 1.21.1ubuntu2 1.21.1ubuntu2
2022-05-31 15:42:12 status half-configured dpkg 1.21.1ubuntu2
2022-05-31 15:42:12 status unpacked dpkg 1.21.1ubuntu2
2022-05-31 15:42:12 status half-installed dpkg 1.21.1ubuntu2
2022-05-31 15:42:12 status unpacked dpkg:amd64 1.21.1ubuntu2
2022-05-31 15:42:12 configure dpkg:amd64 1.21.1ubuntu2 1.21.1ubuntu2
2022-05-31 15:42:12 status half-configured dpkg:amd64 1.21.1ubuntu2
2022-05-31 15:42:12 status installed dpkg:amd64 1.21.1ubuntu2
2022-05-31 15:42:12 startup archives install
2022-05-31 15:42:12 install libc6:amd64 <none> 2.35-0ubuntu3
2022-05-31 15:42:12 status half-installed libc6:amd64 2.35-0ubuntu3
2022-05-31 15:42:12 status unpacked libc6:amd64 2.35-0ubuntu3
2022-05-31 15:42:12 configure libc6:amd64 2.35-0ubuntu3 2.35-0ubuntu3
2022-05-31 15:42:12 status half-configured libc6:amd64 2.35-0ubuntu3
2022-05-31 15:42:13 status installed libc6:amd64 2.35-0ubuntu3
2022-05-31 15:42:13 startup archives install
2022-05-31 15:42:13 install perl-base:amd64 <none> 5.34.0-3ubuntu1
2022-05-31 15:42:13 status half-installed perl-base:amd64 5.34.0-3ubuntu1
2022-05-31 15:42:13 status unpacked perl-base:amd64 5.34.0-3ubuntu1
2022-05-31 15:42:13 configure perl-base:amd64 5.34.0-3ubuntu1 5.34.0-3ubuntu1
2022-05-31 15:42:13 status half-configured perl-base:amd64 5.34.0-3ubuntu1
2022-05-31 15:42:13 status installed perl-base:amd64 5.34.0-3ubuntu1
2022-05-31 15:42:13 startup archives install
2022-05-31 15:42:13 install mawk:amd64 <none> 1.3.4.20200120-3
2022-05-31 15:42:13 status half-installed mawk:amd64 1.3.4.20200120-3
2022-05-31 15:42:13 status unpacked mawk:amd64 1.3.4.20200120-3
2022-05-31 15:42:13 configure mawk:amd64 1.3.4.20200120-3 1.3.4.20200120-3
2022-05-31 15:42:13 status half-configured mawk:amd64 1.3.4.20200120-3
2022-05-31 15:42:13 status installed mawk:amd64 1.3.4.20200120-3
2022-05-31 15:42:13 startup archives unpack
