C1,C2,Length_Kbp
metabat.6.fa,metabat.6.fa,6463.74
metabat.2.fa,metabat.2.fa,5307.43
metabat.7.fa,metabat.7.fa,2419.5
metabat.1.fa,metabat.1.fa,1973.67
metabat.4.fa,metabat.4.fa,1497.93
metabat.5.fa,metabat.5.fa,872.11
metabat.3.fa,metabat.3.fa,605.63
