Order,scaff_non_virus.fasta
Lactobacillales,0.4989831518451974
Alteromonadales,0.5585815950940382
Chroococcales,1.1156756415455067
Clostridiales,0.13725554015619437
Pseudomonadales,0.2800957004217335
Halobacteriales,0.7792035548324245
Bacillales,1.4254100331930804
Thermotogales,0.12537291340288717
Bdellovibrionales,0.28260814612790575
Chlamydiales,5.628496873565111
Xanthomonadales,0.5670675016096993
Rhodospirillales,5.2474325646720485
Bifidobacteriales,0.24856746821109904
Campylobacterales,3.3307753591906843
Unknown Order,1.652916311604682
Vibrionales,0.30527981792638426
Oceanospirillales,0.9312378394263203
Pasteurellales,0.6169720553853352
Burkholderiales,18.20741898093918
Rhodobacterales,4.9108962151948585
Neisseriales,1.2225876551407133
Desulfovibrionales,0.858624646551172
Thermoproteales,1.0981939540997043
Phycisphaerales,2.6695373066419554
Methanobacteriales,0.47160232198609825
Sphingomonadales,15.813036914025853
Parvularculales,0.8833315175011458
Erysipelotrichales,0.07533606973068405
Desulfurellales,0.28635899091785233
Cardiobacteriales,0.27598587157854004
Corynebacteriales,0.6001952392227261
Micrococcales,3.5782235601272485
Eubacteriales,1.5722397469350988
Enterobacterales,1.8019164543151975
Moraxellales,17.26849815702287
Micromonosporales,0.3415012930312712
Pseudanabaenales,4.332583036827493
