Phylum,scaff_non_virus.fasta
Firmicutes,3.709224541860255
Proteobacteria,73.64870598304154
Cyanobacteria,5.448258678373
Actinobacteria,4.768487560592345
Euryarchaeota,1.7699979716852097
Thermotogae,0.12537291340288717
Crenarchaeota,1.0981939540997043
Chlamydiae,5.628496873565111
Planctomycetes,2.6695373066419554
Thaumarchaeota,1.1337242167379953
