Kingdom,Phylum,Class,Order,Family,Genus,Species,Strain,scaff_non_virus.fasta
Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfohalobiaceae,Desulfothermus,Desulfothermus_okinawensis,NA,0.858624646551172
Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Enterovibrio,Enterovibrio_baiacu,NA,0.30527981792638426
Bacteria,Firmicutes,Bacilli,Bacillales,NA,Exiguobacterium,Exiguobacterium_flavidum,NA,0.1332021032931849
Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Faecalibaculum,Faecalibaculum_rodentium,NA,0.07533606973068405
Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,NA,Fodinicola,Fodinicola_acaciae,NA,0.6001952392227261
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Halocynthiibacter,Halocynthiibacter_namhaensis,NA,1.6475621957860402
Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halovenus,Halovenus_aranensis,NA,0.7792035548324245
Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter_macacae,NA,0.9629305824343218
Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter_marmotae,NA,0.22893014035197073
Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter_vulpis,NA,0.4156477064468118
Bacteria,Proteobacteria,Deltaproteobacteria,Desulfurellales,Desulfurellaceae,Hippea,Hippea_alviniae,NA,0.28635899091785233
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,NA,Ideonella,Ideonella_azotifigens,NA,7.525791512662234
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Komagataeibacter,Komagataeibacter_hansenii,NA,0.6506745286403346
Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,Lactococcus_insecticola,NA,0.2982571142681423
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,NA,Leptothrix,Leptothrix_mobilis,NA,2.1192127708331836
Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Macrococcus,Macrococcus_brunensis,NA,0.06844508852095454
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Malikia,Malikia_granosa,NA,0.18823874658510598
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Marivivens,Marivivens_niveibacter,NA,1.202484918675957
Bacteria,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Mediterraneibacter,Mediterraneibacter_faecis,NA,1.4383325840869372
Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,Methanobacterium_bryantii,NA,0.47160232198609825
Bacteria,Proteobacteria,Gammaproteobacteria,Moraxellales,Moraxellaceae,Moraxella,Moraxella_lincolnii,NA,1.1885757976270408
Bacteria,Proteobacteria,Gammaproteobacteria,Moraxellales,Moraxellaceae,Moraxella,Moraxella_nonliquefaciens,NA,1.9849231636184412
Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,Novosphingobium_nitrogenifigens,NA,0.2123357321314034
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Paraburkholderia,Paraburkholderia_sartisoli,NA,0.5776224296406363
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus,Paracoccus_contaminans,NA,1.2014291687022767
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Perlucidibacaceae,Perlucidibaca,Perlucidibaca_piscinae,NA,0.04061197459479634
Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingosinicellaceae,Polymorphobacter,Polymorphobacter_fuscus,NA,0.2599114693247716
Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingosinicellaceae,Polymorphobacter,Polymorphobacter_multimanifer,NA,0.5610362620742892
Bacteria,Planctomycetes,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,Poriferisphaera,Poriferisphaera_corsica,NA,2.6695373066419554
Bacteria,Cyanobacteria,NA,Pseudanabaenales,Prochlorotrichaceae,Prochlorothrix,Prochlorothrix_hollandica,NA,4.332583036827493
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Morganellaceae,Providencia,Providencia_alcalifaciens,NA,1.8019164543151975
Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Pseudoalteromonas_lipolytica,NA,0.5585815950940382
