Genus,scaff_non_virus.fasta
Helicobacter,3.515514838064256
Pseudomonas,0.39236536455409465
Sphingobium,7.8610185517160565
Comamonas,1.3285931111704534
Shewanella,0.35521074510344053
Brevibacterium,3.6381086469877597
Paraburkholderia,1.4416990477941853
Streptomyces,0.3141749376005869
Sphingomonas,1.4263385034946348
Chlamydia,0.9710304488849778
Cobetia,1.3498864093579999
Acinetobacter,14.455499481995894
Paracoccus,0.695056996142113
Asaia,1.8390920368717023
Alloscardovia,0.02314598054612873
Alysiella,1.1419741385902862
Bifidobacterium,0.3267252967792409
Blautia,0.21424905885323384
Moraxella,1.2537824215882925
Pseudothermotoga,0.320513280367691
Alicyclobacillus,0.10127155621841447
Sphingopyxis,0.7560391209586549
Actinoplanes,1.0877669764766182
Providencia,1.390424545884651
Parvularcula,0.41373492601810713
Novacetimonas,0.33510389703591964
Roseomonas,1.075847338807085
Sphingomicrobium,2.926364511833825
Ideonella,8.271773079861115
Candidatus_Hepatobacter,0.8045303351786014
Halocynthiibacter,1.251777300856782
Desulfothermus,0.6790888660292221
Aquabacterium,0.5781877263615182
Dactylococcopsis,1.2510708407691047
Rhizorhabdus,3.06899190985121
Taylorella,2.519973689703755
Proteiniclasticum,1.2664304350954758
Candidatus_Protochlamydia,0.16605920307798228
Amylibacter,0.7639445610631955
Halovenus,1.406380882395709
Marivivens,0.9339576096657946
Tistrella,1.3807148046874176
Candidatus_Magnetominusculus,1.4080296428422563
Sulfoacidibacillus,1.1582365681384619
Rappaport,0.13649948590836244
Allosphingorhabdus,0.32396393061051143
Loktanella,1.3205099241490639
Psittacicella,1.0013385280348084
Halobacteriovorax,0.217957565274541
Fulvimarina,0.30090212554500617
Pseudaquabacterium,1.1837067467209827
Poriferisphaera,3.44218382412484
Methylibium,0.8364759238893132
Sandaracinobacteroides,0.13389404065666657
Nasibacterium,0.6946884884157493
Candidatus_Nanohalococcus,0.09851064376495414
Bovifimicola,0.7505876893413886
Bengtsoniella,0.4619340599634137
Prochlorothrix,3.996527564621286
Simkania,4.597355107746046
Caldivirga,1.0796755418016628
Thermanaerovibrio,0.008439410609912486
Sulfophobococcus,0.09089212841190969
Hippea,0.24057082692521192
Lwoffella,1.0987913379641943
Humitalea,0.12491548024627983
