Order,scaff_non_virus.fasta
Hyphomicrobiales,0.30090212554500617
Micrococcales,3.6381086469877597
Burkholderiales,16.160409325501323
Pseudomonadales,0.39236536455409465
Campylobacterales,3.515514838064256
Micromonosporales,1.0877669764766182
Kitasatosporales,0.3141749376005869
Caryophanales,1.2595081243568764
Enterobacterales,1.390424545884651
Synergistales,0.008439410609912486
Rhodobacterales,4.965246391876949
Eubacteriales,2.4789521844002778
Sphingomonadales,16.496610569121557
Halobacteriales,1.406380882395709
Thermotogales,0.320513280367691
Neisseriales,1.1419741385902862
Acetobacterales,3.374958752960987
Oceanospirillales,1.3498864093579999
Alteromonadales,0.35521074510344053
Pasteurellales,1.0013385280348084
Chlamydiales,0.9710304488849778
Moraxellales,17.502761729964128
Geminicoccales,1.3807148046874176
Lachnospirales,0.21424905885323384
Thermoproteales,1.0796755418016628
Cardiobacteriales,0.13649948590836244
Bifidobacteriales,0.3498712773253696
Desulfovibrionales,0.6790888660292221
Phycisphaerales,3.44218382412484
Desulfurococcales,0.09089212841190969
Parvularculales,0.41373492601810713
Holosporales,0.8045303351786014
Nodosilineales,1.2510708407691047
Parachlamydiales,4.763414310824029
Desulfurellales,0.24057082692521192
Nitrospirales,1.4080296428422563
Bacteriovoracales,0.217957565274541
unclassified_Candidatus_Nanohalarchaeota_order,0.09851064376495414
Prochlorotrichales,3.996527564621286
