Family,scaff_non_virus.fasta
Burkholderiaceae,1.4416990477941853
Pseudomonadaceae,0.39236536455409465
Helicobacteraceae,3.515514838064255
Micromonosporaceae,1.0877669764766182
Streptomycetaceae,0.3141749376005869
Alicyclobacillaceae,1.2595081243568764
Morganellaceae,1.390424545884651
Roseobacteraceae,1.3205099241490639
Alcaligenaceae,2.519973689703755
Oscillospiraceae,0.4619340599634137
Sphingobiaceae,7.8610185517160565
Comamonadaceae,1.3285931111704534
Acetobacteraceae,2.174195933907622
Shewanellaceae,0.35521074510344053
Neisseriaceae,1.1419741385902862
Brevibacteriaceae,3.6381086469877597
Clostridiaceae,1.2664304350954758
Haloarculaceae,1.406380882395709
Sphingomonadaceae,1.4263385034946348
Chlamydiaceae,0.9710304488849778
Paracoccaceae,3.6447364677278853
Halomonadaceae,1.3498864093579999
Moraxellaceae,17.502761729964128
Sphingosinicellaceae,0.13389404065666657
Geminicoccaceae,1.3807148046874176
Lachnospiraceae,0.21424905885323384
unclassified_Burkholderiales_family,0.5781877263615182
Thermoproteaceae,1.0796755418016628
Bifidobacteriaceae,0.3498712773253696
Aurantimonadaceae,0.30090212554500617
Sphaerotilaceae,10.29195575047141
Roseomonadaceae,1.2007628190533648
Sphingorhabdaceae,0.32396393061051143
Thermotogaceae,0.320513280367691
Sphingopyxidaceae,0.7560391209586549
Phycisphaeraceae,3.44218382412484
Rhizorhabdaceae,3.06899190985121
Desulfurococcaceae,0.09089212841190969
Parvularculaceae,0.41373492601810713
Sphingomicrobiaceae,2.926364511833825
Synergistaceae,0.008439410609912486
Holosporaceae,0.8045303351786014
Desulfothermaceae,0.6790888660292221
unclassified_Eubacteriales_family,0.7505876893413886
Cymatolegaceae,1.2510708407691047
Cardiobacteriaceae,0.13649948590836244
Parachlamydiaceae,0.16605920307798228
Nitrospiraceae,1.4080296428422563
Psittacicellaceae,1.0013385280348084
Halobacteriovoraceae,0.217957565274541
unclassified_Candidatus_Nanohalarchaeota_family,0.09851064376495414
Prochlorotrichaceae,3.996527564621286
Simkaniaceae,4.597355107746046
Hippeaceae,0.24057082692521192
