Phylum,scaff_non_virus.fasta
Pseudomonadota,67.16756817828772
Bacillota,3.952709367610388
Actinomycetota,5.389921838390334
Campylobacterota,3.7560856649894667
Synergistota,0.008439410609912486
Thermoproteota,1.1705676702135726
Thermotogota,0.320513280367691
Methanobacteriota,1.406380882395709
Cyanobacteriota,5.2475984053903915
Planctomycetota,3.44218382412484
Chlamydiota,5.734444759709007
Thermodesulfobacteriota,0.6790888660292221
Nitrospirota,1.4080296428422563
Bdellovibrionota,0.217957565274541
Candidatus_Nanohalarchaeota,0.09851064376495414
