Order,scaff_non_virus.fasta
Spirochaetales,1.4500906245012446
Alteromonadales,1.39300167246319
Enterobacteriales,2.331462808802038
Chroococcales,3.409089986996508
Rhizobiales,0.555839904898437
Clostridiales,1.3117651291425982
Pseudomonadales,15.574203316414192
Bacillales,2.0007322258593256
Rhodocyclales,0.8532720379861966
Chlamydiales,3.968973305642398
Xanthomonadales,7.704449220973403
Oscillatoriales,0.6091124497583275
Rhodospirillales,3.772205598475302
Campylobacterales,4.323333669530739
Unknown Order,1.7217633773922059
Vibrionales,0.2286763826356064
Actinomycetales,4.239207032814132
Pasteurellales,2.4802162019143528
Burkholderiales,12.843636084998982
Desulfurococcales,0.09046240999389493
Rhodobacterales,7.1338137679775215
Methanococcales,1.5354655489377957
Desulfovibrionales,0.7870176256930933
Thermoproteales,0.7020049730939597
Synergistales,0.18107697938383152
Legionellales,0.04133421769732616
Sphingomonadales,12.84141949412407
Parvularculales,2.666484476184808
Planctomycetales,1.4768851050326228
Acidimicrobiales,0.5111840180110524
Magnetococcales,1.2618203526708534
