Genus,scaff_non_virus.fasta
Acinetobacter,10.422453148428996
Exiguobacterium,1.3486630286726995
Helicobacter,4.323333669530739
Vibrio,0.2286763826356064
Pantoea,0.9185455996779914
Burkholderia,0.02223803291530289
Pseudomonas,1.447457789998126
Gluconacetobacter,0.4075231729235138
Bacillus,0.6520691971866259
Candidatus_Tremblaya,1.0330214418431987
Mesorhizobium,0.555839904898437
Candidatus_Arthromitus,0.295984615660941
Tropheryma,0.07322837501098799
Stenotrophomonas,3.164647238674998
Desulfovibrio,0.7870176256930933
Coprococcus,1.0157805134816573
Pseudoxanthomonas,1.2669484469691052
Shewanella,1.39300167246319
Rubrivivax,2.417831773434283
Synechococcus,0.49433474660901566
Legionella,0.04133421769732616
Parvularcula,2.666484476184808
Leptothrix,2.6102320218994093
Ketogulonicigenium,3.1595650669510964
Pasteurella,2.4802162019143528
Frateuria,3.2728535353292987
Sphingobium,3.870288098763377
Delftia,1.2987013581696492
Tistrella,3.364682425551788
Novosphingobium,0.19383092931334328
Hirschia,3.9742487010264256
Oscillatoria,0.2792096830109169
Simkania,3.968973305642398
Arthrospira,0.22295354113886
Methylibium,1.4291422097079036
Staphylothermus,0.09046240999389493
Aromatoleum,0.8532720379861966
Thermanaerovibrio,0.18107697938383152
Sphingomonas,4.679632738169227
Caldivirga,0.7020049730939597
Ilumatobacter,0.5111840180110524
Magnetococcus,1.2618203526708534
Methanotorris,1.5354655489377957
Taylorella,3.8238167415223923
Turneriella,1.4500906245012446
Pseudanabaena,0.1069492256085506
Sphingopyxis,0.7771073970601714
Comamonas,1.1314943908774782
Candidatus_Hamiltonella,1.4129172091240463
Erythrobacter,3.3205603308179517
Pirellula,0.9014279167585422
Dactylococcopsis,2.9147552403874926
Candidatus_Caldiarchaeum,0.6887419355490072
Verminephrobacter,0.08585224585723863
Advenella,0.024327310615324983
Moraxella,3.704292377987072
Jonesia,4.165978657803144
Rhodopirellula,0.5754571882740807
