Kingdom,Phylum,Class,Order,Family,Genus,Species,Strain,scaff_non_virus.fasta
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia_cepacia_complex,Burkholderia_383_uid58073,0.02223803291530289
Bacteria,Synergistetes,Synergistia,Synergistales,Synergistaceae,Thermanaerovibrio,Thermanaerovibrio_acidaminovorans,Thermanaerovibrio_acidaminovorans_DSM_6589_uid41925,0.18107697938383152
Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Pasteurella,Pasteurella_multocida,Pasteurella_multocida_3480_uid161955,2.4802162019143528
Archaea,Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae,Caldivirga,Caldivirga_maquilingensis,Caldivirga_maquilingensis_IC_167_uid58711,0.7020049730939597
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter_calcoaceticus/baumannii_complex,Acinetobacter_baumannii_SDF_uid61601,4.211103354004491
Bacteria,Actinobacteria,Actinobacteria,Acidimicrobiales,Acidimicrobiaceae,Ilumatobacter,Ilumatobacter_coccineus,Acidimicrobidae_bacterium_YM16_304_uid193703,0.5111840180110524
Bacteria,Proteobacteria,Alphaproteobacteria,Magnetococcales,Magnetococcaceae,Magnetococcus,Magnetococcus_marinus,Magnetococcus_MC_1_uid57833,1.2618203526708534
Archaea,Euryarchaeota,Methanococci,Methanococcales,Methanocaldococcaceae,Methanotorris,Methanotorris_igneus,Methanotorris_igneus_Kol_5_uid67321,1.5354655489377957
Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas_wittichii,Sphingomonas_wittichii_RW1_uid58691,4.679632738169227
Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Leptospiraceae,Turneriella,Turneriella_parva,Turneriella_parva_DSM_21527_uid168321,1.4500906245012446
Bacteria,Cyanobacteria,Unknown Class,Oscillatoriales,Unknown Family,Pseudanabaena,Pseudanabaena_sp._PCC_7367,Pseudanabaena_PCC_7367_uid183004,0.1069492256085506
Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingopyxis,Sphingopyxis_alaskensis,Sphingopyxis_alaskensis_RB2256_uid58351,0.7771073970601714
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Comamonas,Comamonas_testosteroni,Comamonas_testosteroni_CNB_2_uid62961,1.1314943908774782
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Candidatus_Hamiltonella,Candidatus_Hamiltonella_defensa,Candidatus_Hamiltonella_defensa_5AT__Acyrthosiphon_pisum__uid59289,1.4129172091240463
Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Erythrobacter,Erythrobacter_litoralis,Erythrobacter_litoralis_HTCC2594_uid58299,3.3205603308179517
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter_sp._ADP1,Acinetobacter_ADP1_uid61597,6.211349794424505
Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Pirellula,Pirellula_staleyi,Pirellula_staleyi_DSM_6068_uid43209,0.9014279167585422
Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,Stenotrophomonas_maltophilia,Stenotrophomonas_maltophilia_R551_3_uid58657,3.164647238674998
Bacteria,Firmicutes,Bacilli,Bacillales,Unknown Family,Exiguobacterium,Exiguobacterium_sp._AT1b,Exiguobacterium_AT1b_uid59093,1.3486630286726995
Bacteria,Cyanobacteria,Unknown Class,Chroococcales,Unknown Family,Dactylococcopsis,Dactylococcopsis_salina,Dactylococcopsis_salina_PCC_8305_uid183341,2.9147552403874926
